	Source Name	Assay Name	x	y	z	unit
0	056F63395C	membranes	0.0992	0.0992	0.2245	microns
1	08B96BE794	membranes	0.0992	0.0992	0.2245	microns
2	0B51F8B46C	membranes	0.0992	0.0992	0.2245	microns
3	0E48AB134C	membranes	0.0992	0.0992	0.2245	microns
4	1C43D83E9A	membranes	0.0992	0.0992	0.2245	microns
5	22DF2AE1A0	membranes	0.0992	0.0992	0.2245	microns
6	2902E38204	membranes	0.0992	0.0992	0.2245	microns
7	2B23352582	membranes	0.0992	0.0992	0.2245	microns
8	3612A6CEF5	membranes	0.0992	0.0992	0.2245	microns
9	4DC24FC301	membranes	0.0992	0.0992	0.2245	microns
10	673A65D087	membranes	0.0992	0.0992	0.2245	microns
11	6F18162F4C	membranes	0.0992	0.0992	0.2245	microns
12	8713481504	membranes	0.0992	0.0992	0.2245	microns
13	8C633380D2	membranes	0.0992	0.0992	0.2245	microns
14	8C83D4387F	membranes	0.0992	0.0992	0.2245	microns
15	8CA33561B5	membranes	0.0992	0.0992	0.2245	microns
16	AB98466077	membranes	0.0992	0.0992	0.2245	microns
17	B95A4F6D95	membranes	0.0992	0.0992	0.2245	microns
18	C95F528559	membranes	0.0992	0.0992	0.2245	microns
19	CB87D7CBC9	membranes	0.0992	0.0992	0.2245	microns
20	E013272A99	membranes	0.0992	0.0992	0.2245	microns
21	E6E56C3F42	membranes	0.0992	0.0992	0.2245	microns
22	EC77708A51	membranes	0.0992	0.0992	0.2245	microns
23	FC90367714	membranes	0.0992	0.0992	0.2245	microns
24	03887B26C1	membranes_nuclei	0.1024	0.1024	0.2245	microns
25	15999C80F3	membranes_nuclei	0.1024	0.1024	0.2245	microns
26	3BD50B1F34	membranes_nuclei	0.1024	0.1024	0.2245	microns
27	492B944A71	membranes_nuclei	0.1024	0.1024	0.2245	microns
28	4A644B6C69	membranes_nuclei	0.1024	0.1024	0.2245	microns
29	4BDFE7B8D2	membranes_nuclei	0.1024	0.1024	0.2245	microns
30	4C059E69BC	membranes_nuclei	0.1024	0.1024	0.2245	microns
31	77135D126D	membranes_nuclei	0.1024	0.1024	0.2245	microns
32	7ADFA42907	membranes_nuclei	0.1024	0.1024	0.2245	microns
33	8179A86D76	membranes_nuclei	0.1024	0.1024	0.2245	microns
34	9CB73DC13A	membranes_nuclei	0.1024	0.1024	0.2245	microns
35	A921B80A44	membranes_nuclei	0.1024	0.1024	0.2245	microns
36	B154DF856B	membranes_nuclei	0.1024	0.1024	0.2245	microns
37	C22FC95129	membranes_nuclei	0.1024	0.1024	0.2245	microns
38	D2470961E8	membranes_nuclei	0.1024	0.1024	0.2245	microns
39	D34B941004	membranes_nuclei	0.1024	0.1024	0.2245	microns
40	D486DD3904	membranes_nuclei	0.1024	0.1024	0.2245	microns
41	D9314261C0	membranes_nuclei	0.1024	0.1024	0.2245	microns
42	F8346191C7	membranes_nuclei	0.1024	0.1024	0.2245	microns
43	FDE484C778	membranes_nuclei	0.1024	0.1024	0.2245	microns
44	00E41C184C	membranes_actin	0.1024	0.1024	0.2245	microns
45	296696DB86	membranes_actin	0.1024	0.1024	0.2245	microns
46	2BDB74A7D6	membranes_actin	0.0992	0.0992	0.2245	microns
47	2FC33D7301	membranes_actin	0.1024	0.1024	0.2245	microns
48	39E81EDC34	membranes_actin	0.1024	0.1024	0.2245	microns
49	567C0C9CB6	membranes_actin	0.1024	0.1024	0.2245	microns
50	608BEE23AA	membranes_actin	0.1024	0.1024	0.2245	microns
51	64484C06F9	membranes_actin	0.0992	0.0992	0.2245	microns
52	7427532FD9	membranes_actin	0.1024	0.1024	0.2245	microns
53	770CB12681	membranes_actin	0.0992	0.0992	0.2245	microns
54	8D037347B9	membranes_actin	0.1024	0.1024	0.2245	microns
55	9B64B26626	membranes_actin	0.1024	0.1024	0.2245	microns
56	A07C79157A	membranes_actin	0.1024	0.1024	0.2245	microns
57	A96BA2AE1C	membranes_actin	0.1024	0.1024	0.2245	microns
58	B2B1FB7EE0	membranes_actin	0.0992	0.0992	0.2245	microns
59	BCAAF27981	membranes_actin	0.0992	0.0992	0.2245	microns
60	BCE9C7BBCB	membranes_actin	0.1024	0.1024	0.2245	microns
61	F465AE8B97	membranes_actin	0.1024	0.1024	0.2245	microns
62	F80ACE04D5	membranes_actin	0.1024	0.1024	0.2245	microns
63	1A3F9F428A	membranes_cisgolgi	0.0992	0.0992	0.22	microns
64	544D6C59FD	membranes_cisgolgi	0.0992	0.0992	0.22	microns
65	655E9D7D39	membranes_cisgolgi	0.0992	0.0992	0.22	microns
66	6565C3193C	membranes_cisgolgi	0.0992	0.0992	0.22	microns
67	8494E67C25	membranes_cisgolgi	0.0992	0.0992	0.22	microns
68	BACFB0475A	membranes_cisgolgi	0.0992	0.0992	0.22	microns
69	D6B1A93BDE	membranes_cisgolgi	0.0992	0.0992	0.22	microns
70	DBD0449625	membranes_cisgolgi	0.0992	0.0992	0.22	microns
71	E63DB08265	membranes_cisgolgi	0.0992	0.0992	0.22	microns
72	E99A87B085	membranes_cisgolgi	0.0992	0.0992	0.22	microns
73	EE11691237	membranes_cisgolgi	0.0992	0.0992	0.22	microns
74	02ED8CA0B9	membranes_earlyendo	0.0992	0.0992	0.22	microns
75	26A9D7093E	membranes_earlyendo	0.0992	0.0992	0.22	microns
76	3E0EE13177	membranes_earlyendo	0.0992	0.0992	0.22	microns
77	47B31836B0	membranes_earlyendo	0.0992	0.0992	0.22	microns
78	61E7CD2F27	membranes_earlyendo	0.0992	0.0992	0.22	microns
79	81E0137C14	membranes_earlyendo	0.0992	0.0992	0.22	microns
80	828AAFF38C	membranes_earlyendo	0.0992	0.0992	0.22	microns
81	86AEB2E414	membranes_earlyendo	0.0992	0.0992	0.22	microns
82	889D6DDB1F	membranes_earlyendo	0.0992	0.0992	0.22	microns
83	D050E92E38	membranes_earlyendo	0.0992	0.0992	0.22	microns
84	D4846901BC	membranes_earlyendo	0.0992	0.0992	0.22	microns
85	D4974C20CF	membranes_earlyendo	0.0992	0.0992	0.22	microns
86	E75A7F5AE7	membranes_earlyendo	0.0992	0.0992	0.22	microns
87	E794F7AE68	membranes_earlyendo	0.0992	0.0992	0.22	microns
88	0C7E6EE381	membranes_recendo	0.0992	0.0992	0.2245	microns
89	0F6C27F441	membranes_recendo	0.0992	0.0992	0.2245	microns
90	11E67B39A7	membranes_recendo	0.0992	0.0992	0.2245	microns
91	16A18E70D0	membranes_recendo	0.0992	0.0992	0.2245	microns
92	2B1E6C12B3	membranes_recendo	0.0992	0.0992	0.2245	microns
93	4882D586F3	membranes_recendo	0.0992	0.0992	0.2245	microns
94	52A4FD415A	membranes_recendo	0.0992	0.0992	0.2245	microns
95	7E8CA9482F	membranes_recendo	0.0992	0.0992	0.2245	microns
96	97E18B10B3	membranes_recendo	0.0992	0.0992	0.2245	microns
97	A243257E0D	membranes_recendo	0.0992	0.0992	0.2245	microns
98	A9213445AE	membranes_recendo	0.0992	0.0992	0.2245	microns
99	B6474DAA3E	membranes_recendo	0.0992	0.0992	0.2245	microns
100	DAA0F8D3A9	membranes_recendo	0.0992	0.0992	0.2245	microns
101	E0EB753C48	membranes_recendo	0.0992	0.0992	0.2245	microns
102	E17C99121A	membranes_recendo	0.0992	0.0992	0.2245	microns
103	E4044535BE	membranes_recendo	0.0992	0.0992	0.2245	microns
104	F41E584C7C	membranes_recendo	0.0992	0.0992	0.2245	microns
105	FCC5A372FC	membranes_recendo	0.0992	0.0992	0.2245	microns
106	FFFB66830A	membranes_recendo	0.0992	0.0992	0.2245	microns
107	09034FB7F0	membranes_tgn	0.0992	0.0992	0.22	microns
108	13BE29A615	membranes_tgn	0.0992	0.0992	0.22	microns
109	321DEF59FC	membranes_tgn	0.0992	0.0992	0.22	microns
110	32FF7CB088	membranes_tgn	0.0992	0.0992	0.22	microns
111	3CAACDE565	membranes_tgn	0.0992	0.0992	0.22	microns
112	597E83AEEE	membranes_tgn	0.0992	0.0992	0.22	microns
113	622ABBE65A	membranes_tgn	0.0992	0.0992	0.22	microns
114	6E3DAA637E	membranes_tgn	0.0992	0.0992	0.22	microns
115	7A19015670	membranes_tgn	0.0992	0.0992	0.22	microns
116	C0FBC841C5	membranes_tgn	0.0992	0.0992	0.22	microns
117	D7313FE224	membranes_tgn	0.0992	0.0992	0.22	microns
118	D738F5D435	membranes_tgn	0.0992	0.0992	0.22	microns
119	FC76253BAE	membranes_tgn	0.0992	0.0992	0.22	microns
